水泥品种,水泥强度,粉煤灰种类-依据地区,混凝土级配,水灰比,水泥用量（kg/m3）,粉煤灰掺量（%）,砂率,减水剂种类,减水剂掺量（%）,引气剂种类,引气剂掺量（%）,混凝土温度,R28（已整合）
3,52.5,3,4,0.55,92,61,27,10,0.6,2,0.7,6.3,9.8
3,52.5,3,4,0.55,97,65,28,10,0.7,2,0.85,12,10.4
3,42.5,17,3,0.55,108,72,34,4,0.6,1,4,9,10.7
3,42.5,7,3,0.55,108,72,34,4,0.6,1,3.5,10,10.9
3,52.5,3,4,0.55,92,61,26,10,0.6,2,0.7,3.8,11
3,42.5,17,3,0.55,108,72,34,4,0.6,1,4,6,11.1
3,42.5,7,4,0.5,91,75,27,4,0.6,1,4.5,9.5,11.3
3,52.5,3,4,0.55,92,61,26,10,0.6,2,0.7,5,11.4
3,52.5,15,4,0.55,92,61,26,10,0.6,2,1,11,11.4
3,42.5,7,3,0.55,103,68,31,4,0.6,1,3.5,13.5,11.6
3,52.5,16,4,0.55,96,64,27,10,0.6,2,0.7,5.9,11.7
3,42.5,7,3,0.55,108,72,34,4,0.6,1,3,9.5,11.8
3,42.5,7,4,0.55,92,61,27,4,0.6,1,3.5,9,12.1
3,52.5,3,4,0.55,92,61,27,10,0.6,2,0.7,3.9,12.2
3,52.5,7,4,0.55,92,61,27,10,0.6,2,0.7,6.5,12.2
3,42.5,17,4,0.55,92,61,27,4,0.6,1,3.5,5,12.2
3,52.5,3,4,0.55,92,61,26,10,0.6,2,0.7,2.5,12.3
3,52.5,16,4,0.55,137,59,25,10,0.5,2,0.95,15.3,12.7
3,42.5,17,4,0.5,91,75,27,4,0.6,1,3.5,6,12.9
3,42.5,7,4,0.5,91,75,27,4,0.6,1,4.5,9,12.9
3,52.5,16,4,0.55,94,63,26,10,0.6,2,0.8,15.5,13
3,42.5,17,4,0.55,92,61,27,4,0.6,1,3,6,13
3,52.5,16,3,0.55,117,78,35,10,0.6,2,0.75,9,13.1
3,42.5,17,3,0.55,103,68,31,4,0.6,1,3,4,13.1
3,42.5,7,4,0.5,91,75,27,4,0.6,1,4,9,13.1
3,42.5,7,4,0.55,92,61,27,4,0.6,1,3,9,13.1
3,52.5,15,4,0.55,92,61,25,10,0.6,2,0.7,4,13.2
